"name","price","description","short description"
"RenaZyme - Apex Energetics",25.90,"",""
"S.A.T. - Thorne",25.90,"",""
"StressArrest - DFH",20.00,"Provides GABA and other calming nutrients.",""
"SalbaRX - Core Naturals",39.95,"",""
"SAMe - DFH",38.00,"",""
"Satiecin ",49.10,"Maintains healthy metabolism, supports thyroid and adrenal function.  Decreases carbohydrate cravings.  Helps maintain healthy blood sugar levels.",""
"Stellar C - DFH",31.00,"Supports healthy immune function, maintains healthy veins, capillaries, skin, hair and nails.",""
"Sedaplus - Thorne",17.65,"",""
"Super EFA Complex - AE",16.80,"",""
"SerenX - Xymogen",39.42,"Provides herbal support for those having difficulty resting, may be overworked, overstressed and have exhausted physical reserves.",""
"Super EPA Pro 120ct - Thorne",75.00,"Highly-concentrated EPA for maintenance of healthy lipid levels, brain health and hormone balance",""
"Super EPA Pro 60ct - DISCONTINUED- Thorne",38.00,"Highly-concentrated EPA for maintenance of healthy lipid levels, brain health and hormone balance",""
"Sleep Factors - Biogenesis",40.00,"",""
"SF722 - Thorne",32.60,"Maintains healthy flora for gut and vaginal health.",""
"SF734 - Thorne",19.00,"",""
"Synbiotic Intensive - Pharmax",34.50,"",""
"Silvercillin Liquid - DFH",52.00,"Broad-spectrum antimicrobial – capable of killing many  pathogens, even those resistant to antibiotics; anti-inflammatory.",""
"Silvercillin Gel - DFH",40.00,"Broad-spectrum antimicrobial – capable of killing many  pathogens, even those resistant to antibiotics; anti-inflammatory.",""
"Silphos - Thorne",33.50,"",""
"Solvent Remover - Thorne",21.60,"Enhances liver detoxification, contains antioxidant neuroprotectant nutrients.",""
"Seriphos - Interplexus",24.60,"",""
"Seriphos - Interplexus",24.60,"",""
"Stress Relief Therapy Roll-On - Thorne",12.00,"",""
"Thyrocsin - Thorne",25.90,"",""
"Twice Daily Essential Packets - DFH",65.00,"Helps people get their daily essential nutrients in two easy packets.",""
"Theanine - Thorne",50.55,"",""
"Thiocid-300 - Thorne",30.90,"",""
"Thorne Organics - Gel Bodywash",12.50,"",""
"Thorne Organics Body Bar",8.80,"",""
"Thorne Organics - Body Lotion",17.99,"For face, hands and body.",""
"Thorne Organics Conditioner",15.00,"",""
"Thorne Organics Shampoo",12.80,"",""
"Thyrocsin 60 Caps - Thorne",15.10,"",""
"L-Tyrosine - Thorne",18.40,"",""
"Undecyn - Thorne",20.50,"Promotes healthy gut and vaginal flora.",""
"Uristatin - Thorne",18.30,"",""
"UT Synergy - DFH",49.00,"Supports the health of the urinary tract.",""
"Vitamin D/K2 Liquid - Thorne",22.80,"Helps protect a number of important systems in the body, including healthy bones, immunity, and cardiovascular function.",""
"Vitamin D Synergy - DFH",15.00,"",""
"Vitamin D Supreme - DFH",28.00,"Essential for immune support, bone health, liver and brain health.",""
"Vitamin D Ultra 10K, 60 caps - DFH",32.00,"For optimal bone and arterial health and for maintaining the immune system in proper balance.",""
"VegaLite Chocolate 16 oz. - Thorne",30.00,"Protein supplement.",""
"VegaLite Chocolate 34.3 oz - Thorne",59.55,"Protein supplement.",""
"Vitavescence - DFH",35.00,"",""
"Vitamin K Liquid Drops 1fl oz",64.90,"Effective in maintaining bone health - also supports a healthy cardiovascular system.",""
"Vitavescence - DFH",30.00,"",""
"Whey Cool Vanilla Protein Powder - DFH",76.00,"Produced to maintain the full range of the fragile immune boosting and regenerative components naturally present in fresh raw milk.",""
"Whey Protein Isolate 30.7 oz. - Thorne",65.25,"",""
"Womens Twice Daily Packets w/o iron - DFH",117.00,"",""
"Womens Twice Daily Essential Packets w/iron - DFH",125.00,"",""
"Xylitol powder",28.00,"",""
"Yoni Oil - BP",25.00,"",""
"Zinc Challenge - DFH",18.00,"Highly absorbable supplemental zinc.  Provides immune support and skin health.",""
"Zinc (Double) Picolinate - Thorne",9.95,"Helpful for immune support, skin health, making progesterone.",""
"ModuCare - Thorne",44.65,"Plant sterols and sterolins naturally balance the immune system. Modulates a stress response by supporting optimal DHEA:cortisol ratios.",""
"D-10,000 60ct - Thorne",16.50,"Supports cardiovascular, immune, and bone health.",""
"Balance PPR (Progesterone/pregnenolone) - Vida Pura",34.00,"To balance hormones.",""
"DHEA-15 90ct - Thorne",14.75,"Supports healthy aging, enhances physical & psychological well-being, optimizes mood & memory.",""
"Neo40 Daily - 30 Lozenges - Neogenis",60.00,"Improves cardiovascular health.",""
"Meriva 500 60ct - Thorne",26.20,"Supports liver, digestive and heart health and helps to normalize inflammation.",""
"Mickey Mouse - DISCONTINUED",5.00,"To support lowering client's voice.",""
"Vit D3 with K2 - Thorne",25.00,"25K IUs",""
"L-Lysine - Thorne",9.60,"Amino acid essential for skin health, energy production, and immune function.",""
"Prevail Whey Protein Vanilla - Thorne",63.95,"Promotes the repair and rebuilding of muscle tissue. Helps replenish protein and amino acids after workouts. Revitalizes to improve strength and performance.",""
"Nature Throid",0.00,"Thyroid support.",""
"Potassium Citrate - Thorne",11.40,"Alkalinizes the urine to promote good kidney health. Supports cardiovascular health and is essential for skeletal muscle function.",""
"OmegAvail Ultra 120 - DFH",38.00,"Omega-3 fatty acids with lipase, a digestive aid to ensure maximum absorption. For cardiovascular health, artherosclerotic support and bone health.",""
"BioGest 60ct - Thorne",16.40,"Enzymes and betaine HCL to use for improved digestion and overall health.",""
"Double Zinc Picolinate 180ct - Thorne",32.40,"Promotes essential growth, immune function and reproductive health.",""
"VegaLite Vanilla 32.6oz - Thorne",59.95,"Protein powder.",""
"VegaLite Vanilla 16 oz. - Thorne",30.00,"Protein Powder.",""
"Vitamin C - Buffered ",32.00,"Support for skin, immune and brain health.",""
"Nutri-Fem 240ct - Thorne",45.45,"Multiple vitamin - mineral supplement.",""
"Neogenis Nitric Oxide Indicator Strips - Neogenis",21.95,"Used for testing nitric oxide levels.",""
"Vitamin D3/K ",0.00,"10,000 IUs",""
"Q-Best 50 120ct - Thorne",65.95,"Promotes normal cardiovascular function, enhances blood vessel function and is an essential nutrient for cellular energy production. All-natural - no chemical additives or titanium dioxide.",""
"Serenoa Gelcaps - DISCONTINUED",0.00,"",""
"Arthroben - DFH",60.00,"Reduces inflammation, offers potent antioxidant protection to reduce joint deterioration, and increases joint mobility and function.",""
"Glutathione-SR 60ct - Thorne",40.85,"Targeted chemoprotection, support for healthy vision & eyes, healthy cardiovascular & gastrointestinal system and for healthy joints.",""
"Basic Nutrients III without Copper and Iron 180ct - Thorne",38.95,"A comprehensive multiple with copper and iron featuring citrate mineral chelates",""
"Basic Nutrients IV with Copper and Iron 180ct - Thorne",38.95,"A comprehensive multiple with copper and iron featuring citrate mineral chelates.",""
"Basic Nutrients V, 180ct - Thorne",38.95,"A comprehensive multiple without iron and iodine featuring citrate-malate mineral chelates.",""
"CoQnol, 100mg 60 ct. - DFH",62.00,"Critical to the cellular ATP (energy) production cycle.",""
"IsoPhos 60ct - Thorne",61.00,"Helps optimize brain function, help modulate cortisol levels during stress.",""
"5-HTP 90ct - Thorne",29.00,"Enhances serotonin production for better sleep, decreased sugar cravings, and supports stress management.",""
"Hydroxytryptophan - 5-HTP - Thorne",61.00,"Enhances serotonin production for better sleep, decreased sugar cravings, and supports stress management.",""
"Buffered Vitamin C - DFH",0.00,"Optimizes immune function and antioxidant support.",""
"GI Revive 225gm - DFH",54.00,"Supports gastrointestinal health and function.",""
"Virgin Diet All-In-One-Shake",59.95,"A plant-based multi-nutrient protein complex that is: gluten-free, soy-free, dairy-free with no artificial sweeteners.",""
"MediPro Vegan All-in-one-Shake - Chai - Thorne",59.95,"A vegetable-based, multi-nutrient protein powder.",""
"MediPro Vegan All-in-one-Shake - Chocolate - Thorne",59.95,"A vegetable-based, multi-nutrient protein powder.",""
"MediPro Vegan All-in-one-Shake - Vanilla - Thorne",59.95,"A vegetable-based, multi-nutrient protein powder.",""
"Amino Acid Blend - Metabolic Maintenance",0.00,"Custom formula per lab testing.",""
"Multivitamin - Metabolic Maintenance",0.00,"Custom formula per lab testing.",""
"Zinc Supreme - DFH",16.00,"Helpful for immune support, skin health and making progesterone.",""
"Krill Oil 60ct - Thorne",54.30,"Easily absorbed omega 3 fatty acids with antioxidants and no burping.",""
"Prevail Whey Protein Chocolate - Thorne",63.95,"Promotes the repair and rebuilding of muscle tissue. Helps replenish protein and amino acids after workouts. Revitalizes to improve strength and performance.",""
"Pura D Sustain, 120 caps - Vida Pura",43.00,"Supports energy production, liver function, fat metabolism and antioxidant functions.",""
"Pura D Cleanse Plus Vanilla - Vida Pura",59.95,"Support for body's detoxification system, support for healthy hormone metabolism with gut healing nutrients.",""
"Sublingual B-6 Liquid - DFH",16.00,"Supports neurotransmitter production, hormone metabolism and much more. ",""
"OmegAvail Marine w/Lipase120ct",20.00,"An ideal fish oil product for maintenance and general Omega-3 dosing, along with lipase for enhanced digestion and absorption. ",""
"Ther-Biotic Factor 4 - Klaire Labs",34.95,"A high-potency blend that includes four extensively researched Bifidobacterium strains that reside primarily in the mucosal lining near the terminus of the small intestine, as well as in the colon and the genitourinary tract.",""
"Ther-Biotic Complete Powder 2.1oz  - Klaire Labs",71.95,"This high-potency, hypoallergenic blend of 12 certified probiotic strains offers the most complete spectrum of microorganisms in the Klaire line. A unique combination of colonizing and transient strains supports a healthy balance of flora across the gastr",""
"Basic Pygeum Herbal 60ct - Thorne",24.20,"Helps balance hormones.",""
"Calcium-Magnesium CitraMate 240ct  - Thorne",27.55,"Minerals for bone, muscle, heart, brain and respiratory health.",""
"Calcium-Magnesium CitraMate 90ct  - Thorne",12.40,"Minerals for bone, muscle, heart, brain and respiratory health",""
"Iodoral 12.5mg",0.00,"Iodine and Potassium Iodode",""
"Ioderal 12.5mg",26.00,"Iodine to support thyroid function, digestion and breast health.",""
"Pura Testo Libido",39.95,"Helps to increase testosterone levels for improved strength, motivation and libido.",""
"Vida Serene",39.95,"Helps to promote relaxation and a sense of inner calm",""
"Pura Brain Balance - Vida Pura",44.00,"To balance brain chemistry for uplifting moods",""
"Gut Goo",0.00,"1 cup unsweetened applesauce, 1 tbls ground flax seed, 1 tbls l-glutamine powder",""
"Dr. Hyla Cass' Brain Recovery Packets",125.00,"Nutritional program helps restore mood and brain function. It stops cravings for addictive substances by balancing your brain chemistry, naturally.",""
"Dr. Hyla Cass' Nightly Calm with valerian",29.95,"Helps you fall asleep, stay asleep, and awaken refreshed and rejuvenated. ",""
"Probiotic 225 - Orthomolecular",66.00,"High dose intensive support for promoting optimal G.I. and immune function",""
"Catalyte 10.2oz - Thorne",45.90,"An advanced electrolyte replacement formula that contains vitamins, minerals, creatine, and D-Ribose that, when mixed with pure water or sparkling water, makes a tasty electrolyte supplement and also helps repair and rebuild muscle.",""
"Vitamin B12 Lozenges - DFH",25.00,"High dosage B12. Supports cardiovascular system, brain and nervous systems. ",""
"Thorne.Organics Uplifting Citrus Body Lotion",17.99,"For face, body and hands.",""
"Myco-Immune - Thorne",34.10,"Immune system support.",""
"Pepti-Guard",39.99,"Formulated for specific support of healthy flora in the upper gastrointestinal tract, particularly the stomach (reformulated/renamed Formula SF734).",""
"Ocu-Clear Eye Vitamin AREDS 1 Formula - Thorne",9.95,"Contains eye-protective essential minerals, carotenes, and antioxidant nutrients* Promotes healthy eye function*",""
"Berberine-500 60ct - Thorne",29.80,"Supports healthy lipid levels, provides cardiovascular support, higher amount for maintenance of healthy glucose metabolism.",""
"Iron Bisglycinate – Thorne ",11.05,"Iron Bisglycinate provides 25 mg of elemental iron per capsule reacted with glycine for superior absorption in the GI tract, thus preventing the typical GI side effects.",""
"Tri-K 60 caps - DFH",29.00,"Provides proteins required for blood coagulation, and in metabolic pathways in bone and other tissue. ",""
"Mighty Maca Greens Portable Thin Stix 7/box - Vida Pura",15.75,"Energy and hormone balance - adrenal function.",""
"Basic Nutrients 2/Day 60ct - Thorne",28.00,"A comprehensive multi-vitamin/mineral complex.",""
"Pura D Cleanse Powder Chai - Vida Pura",55.98,"Support for body's natural detoxification mechanism. Support for healthy hormone metabolism.",""
"L-Glutamine Powder 340gm - Thorne",56.10,"Immune system and digestive tract support.  Helps reduce sugar cravings.",""
"Taurine 90 count, 500mg -Thorne",12.00,"An important amino acid for cardiac, neurological, and liver support",""
"Traumogen, 180ct - Thorne",29.55,"Comprehensive pre and post operative nutritional support system that enhances tissue repair and regeneration.",""
"L-Glutamine Powder 250gms - DFH",34.00,"Immune system and digestive tract support. Helps reduce sugar cravings. ",""
"Hypothalmapath - Energetix",0.00,"Hypothalamus support.",""
"Vida Pura Pura D Vitality Packs For Women",0.00,"A combination of four targeted nutritional formulas conveniently dose-packaged and providing comprehensive nutritional support. ",""
"Pura D Vitality Packs w/Calcium - Vida Pura",1.00,"A combination of four targeted nutritional formulas conveniently dose-packaged and providing comprehensive nutritional support. ",""
"GABA Calm - Source Naturals",0.00,"Calming sublingual amino acid - helps to relax muscles and tension while giving you a little boost with tyrosine for energy.",""
"PurePea Protein Powder Vanilla 450gm - DFH",34.00,"A natural, true vegan protein, offers a high level of functionality and nutritional benefits with excellent digestibility.",""
"LV-GB Complex - DFH",20.00,"Supports bile flow for the normal processing and elimination of toxins.",""
"Ultimate Glucosamine - Wellesley Therapeutics",34.00,"Essential nutrient for beautiful skin - helps to make hyaluronic acid, reduces inflammation and extends the life of important skin cells.",""
"Probiotic Synergy Powder, 120 grams - DFH",22.00,"5 stable and viable strains — carefully selected to be acid tolerant and provide excellent adherence to the gut wall. These 5 strains represent the most necessary, stable and best-researched bacteria known today. Also contains inulin, a prebiotic fiber wh",""
"B12 Lozenges, 60 tablets - DFH",25.00,"High dose vitamin B12 containing 5000 mcg methylcobalamin, the activated form of vitamin B12 for energy, nerve function and brain health.",""
"Vida Metabolism",64.00,"Specifically formulated for hormone and blood sugar balance. Supportive for neuropathy, blood pressure, blood sugar, water retention and fat metabolism.",""
"Vitamin Love",9.99,"",""
"Mirtogenol - Life Extensions",0.00,"Nutrient support to reduce eye pressure - contains standardized bilberry extract Mirtoselect® and Pycnogenol® French maritime pine bark extract.",""
"Lutein",0.00,"A carotenoid that is concentrated in the retina of the eye.",""
"Probiotics",0.00,"Essential for healthy digestion and immune function.",""
"Curcumin - Life Extensions",0.00,"Naturally anti-inflammatory. Helpful for lowering CRP, excellent liver support and joint support.",""
"Lip Balm - Thorne",4.50,"",""
"Uplifting Citrus Shampoo - Thorne",13.80,"",""
"Adrenal Complex - DFH",32.00,"Supports overall adrenal function; ideal for those under chronic stress due to its ability to balance cortisol and replenish catecholamines.",""
"Thyroid Synergy",32.00,"For nutritional support of Thyroid function.",""
"Immunotix 500 (60 cap) - Xymogen",88.50,"Immune support",""
"OptiFiber (Xymogen)",38.17,"Fiber for bowel regularity. Powder.",""
"Optimetabolix (Xymogen)",67.90,"Supports healthy glucose and insulin metabolism.",""
"Vida-Zymes Chewables",27.00,"",""
"VidaPura DHEA 15 mg",29.95,"Supports healthy aging; enhances physical and psychological well-being",""
"Pura D Supreme",22.00,"Essential for immune support, bone health, liver and brain health.",""
"OcuForce (60 caps) - DFH",40.00,"Broad spectrum of nutrients specifically selected to support the function of the eyes.",""
"CoQmax Ubiquinol - Xymogen",58.06,"Plays a major role in energy production and antioxidant protection in the body",""
"DIMension 3™ - Xymogen",41.38,"Supports Healthy Estrogen Metabolism, supports detoxification of xenoestrogens, provides support for antioxidant mechanisms",""
"OmegaPure 820™, 60 caps - Xymogen",43.12,"Essential for hormone balance, cellular communication, brain function and reducing inflammation.",""
"ProbioMax DF™, 30 caps - Xymogen",72.76,"100 billion CFU per capsule to support optimal digestive health, body composition, and immune function.",""
"OptiMag 125™, 120 caps - Xymogen",24.00,"Plays a role in over 300 metabolic processes. It participates in the development and maintenance of bones and teeth; the metabolism of carbohydrates, blood glucose, fats, and proteins; the formation of cells and tissues; and the maintenance of muscle func",""
"Bio C 1:1, 90 caps - Xymogen",24.32,"Essential for immune, skin, brain chemistry and the function of carnitine for fat burning.",""
"Betaine HCL - DFH",22.00,"Aids digestion and helps with the assimilation of nutrients, increases stomach acid. ",""
"T-150 (Xymogen) 120 caps",41.00,"Mineral and herbal formula to support healthy thyroid function.",""
"T-150 (Xymogen) 60 caps",24.00,"Mineral and herbal formula to support healthy thyroid function.",""
"Liprotropix (Xymogen)",39.00,"Supports healthy liver function.",""
"Adrenal Essence (Xymogen) 60 caps",33.00,"Aids adrenal hormone production; supports healthy energy levels, antioxidant activity and healthy immune function.",""
"Adrenal Essence (Xymogen) 120 caps",48.00,"Aids adrenal hormone production; supports healthy energy levels, antioxidant activity and healthy immune function.",""
"5-MTHF (Xymogen)",21.00,"Folic acid",""
"Liver Protect - 120 caps - Xymogen",42.00,"Provides support of antioxidant activity, regeneration of other antioxidants, and promotion of healthy immune function.",""
"Digestzymes (DFH) 90 caps",30.00,"Enzymes to improve digestive health.",""
"DIM-Avail 120 DFH",46.00,"Increases DIM absorption for a healthier gut.",""
"Pure Paleo Protein; Vanilla",68.00,"Purified beef protein powder.",""
"Pure Paleo Protein; Chocolate",68.00,"Purified beef protein powder",""
"Pure Paleo Protein; Combo (Choc & Vanilla)",134.00,"Purified beef protein powder",""
"Silvercillin Spray - 4 oz - DFH",20.00,"Broad-spectrum antimicrobial – capable of killing many  pathogens, even those resistant to antibiotics; anti-inflammatory.",""
"CelerEase - 60 - DFH",18.00,"Support for maintaining healthy joint comfort and mobility.",""
"Digestzymes (DFH) 180 caps",53.00,"Enzymes to improve digestive health",""
"Vitamin D (generic)",20.00,"",""
"DHEA 25 - DFH 60 ",13.00,"Vegetarian capsules for the synthesis of important hormones and for healthy aging, ongoing energy and vitality.",""
"Pura Mag Plus",36.00,"Supports bone and teeth health, muscle function (including cardiac muscle), and the metabolism of carbohydrates, blood glucose, fats and proteins.",""
"Melatonin 3mg - DFH 60",14.00,"Sleep aid",""
"C3 Curcumin Complex - DFH",38.00,"Powerful antioxidant supporting colon, liver and heart health.",""
"PuraOmega 780EC",68.00,"Essential fatty acids from cold water fish.",""
"5- HTP Supreme - DFH 60",32.00,"Used during the day to support healthy mood or appetite or at bedtime to support sleep. ",""
"Vitamin C - Generic",20.00,"",""
"Osteoben, 120 caps - DFH",40.00,"Provides the proper bone-supportive nutritional requirements in order to safely assist with the dietary management of osteopenia and osteoporosis.",""
"Organic RYR, 180 caps - DFH",34.00,"May support the health of the arterial lining and help reduce oxidative stress and inflammation. ",""
"Probiotic Synergy - 120 caps - DFH",66.00,"8 strains of probiotics for a healthier immune system, better absorption of nutrients and lower inflammation.",""
"Krill Oil - DFH (Xanth Omega Krill Oil)",66.00,"Easily absorbed omega 3 fatty acids with antioxidants and no burping.",""
"Pyridoxal 5-Phosphate - DFH",22.00,"Vitamin B6. ",""
"K + 2 Potassium - DFH - 120 caps",22.00,"This alkalinizing formula provides nutritional support to help maintain healthy blood pressure levels. ",""
"Acnutrol - DFH - 180 caps",39.00,"Comprehensive support for healthy skin by focusing on the internal healing process and overall skin health. ",""
"Hormone Protect (Xymogen)",42.00,"Estrogen Metabolism and Detoxification Support Formula.",""
"O-tropin (not eligible for VIP discounting)",80.00,"Contains a careful blend of natural aminos and herbs, in a unique liposome delivery system for pituitary support. Not eligible for VIP autoship discounting.",""
"Arginine 750mg 120 capsules",26.00,"L-Arginine is a clinically useful amino acid for enhancing heart health, the circulatory system and the immune system. It is a precursor of nitric oxide, known to be important for blood pressure maintenance and healthy endothelial function. ",""
"B-Supreme 120 capsules",35.00,"B vitamins play critical roles in modulating biochemistry and metabolism, and represent the most common vitamins utilized by the body as cofactors for facilitating enzymatic function. ",""
"Metabolic Synergy - 360 - DFH",115.00,"Specifically formulated for endocrine and blood sugar concerns. Supportive for neuropathy, blood pressure, blood sugar, water retention and fat metabolism.",""
"Water Ease - 100 vegetarian caps - DFH",16.00,"This formula is a safe diuretic for occasional water retention. ",""
"Sexy Younger You Skincare - Basic Essentials",125.00,"Radiant Ageless Moisturizer, Glycolic Facial Mousse, Antioxidant Nourishing Mist, Exfoliating Enzyme Scrub ",""
"Sexy Younger You Skincare - Nighttime Repair Essentials",105.00,"Renew and Repair Skin Drops, Renew Intensive Cream",""
"Sexy Younger You Skincare - Renew Age-Beautiful Essentials",100.00,"Renew Nourishing Eye Serum, Renew Face and Neck Antioxidant Cream",""
"Cataplex E2",0.00,"Dr. Millman",""
"Magnesium Lactate-SP",0.00,"Dr. Millman",""
"B Supreme - DFH - 60 caps",20.00,"Powerful B Vitamin combination supports cellular energy production, to healthy red-blood-cell formation, to healthy neurological function.",""
"Sexy Younger You Skincare - Radiant Ageless Moisturizer",38.00,"",""
"Sexy Younger You Skincare - Glycolic Facial Mousse",30.00,"",""
"Sexy Younger You Skincare - Antioxidant Nourishing Mist",22.00,"",""
"Sexy Younger You Skincare - Exfoliating Enzyme Scrub",35.00,"",""
"Sexy Younger You Skincare - Renew & Repair Skin Drops",60.00,"",""
"Sexy Younger You Skincare - Renew Intensive Cream",45.00,"",""
"Sexy Younger You Skincare - Renew Nourishing Eye Serum",45.00,"",""
"Sexy Younger You Skincare - Renew Face & Neck Cream",55.00,"",""
"Adrenotone - 180 - DFH",40.00,"Promotes healthy cortisol levels, hypothalamic and pituitary function (HPTA axis), and catecholamine production (dopamine, norepinephrine, and epinephrine). ",""
"L-Tyrosine - DFH - 120",22.00,"Tyrosine is one of the amino acids, which are the building blocks of protein. Supports mental alertness, healthy glandular function.",""
"Metal X Synergy - DFH - 90",48.00,"Supports heavy metal detox from the body.",""
"Ultra B12 Folate",28.00,"Combines both coenzyme forms of B12 into one supplement to maximize the benefits of B12 in your body. ",""
"N Acetyl Cysteine - DFH - 120",34.00,"Helps promote optimal detoxification.",""
"Phosphatidylcholine 300 gm DFH",41.00,"Extremely valuable for liver health. Protects the liver against damage from alcohol, pollution, toxins, prescription and over the counter medication.",""
"Pure Pea Protein Powder - unflavored",28.00,"A natural, true vegan protein, offers a high level of functionality and nutritional benefits with excellent digestibility.",""
"Probiotic Supreme - 60 - DFH",64.00,"A higher dose Probiotic delivering 15 billion organisms per dose in a caplet form.",""
"GABA - Quicksilver Etheric Delivery",30.00,"Supports a calm, serene, grounded state of being.",""
"Magnesium Buffered Chelate 120",24.00,"Good source of magnesium without causing gastrointestinal symptoms. 150 mg in each capsule",""
"Vitamin A - High Potency - Thorne ",10.40,"High potency vitamin containing 25,000 IU Vitamin A palmitate. Vital for eye health; an essential nutrient for maintaining healthy skin; immune system.",""
"NeuroMag",49.00,"Supports cognitive abilities and decreases common age-related memory decline.",""
"Pure Pea Protein Powder - Chocolate",34.00,"A natural, true vegan protein, offers a high level of functionality and nutritional benefits with excellent digestibility.",""
"Vitex 2 oz",20.74,"Useful for hormone regulation for women in cases of PMS, menstrual irregularities, infertility and menopausal complaints.",""
"Vitex 4 oz",34.63,"Useful for hormone regulation for women in cases of PMS, menstrual irregularities, infertility and menopausal complaints.",""
"Complete Multi with Copper & Iron - 180",49.00,"Multi with generous amounts of Vitamin K & D; 8 mg iron.",""
"Paleo Bars - Choc/Almond (case of 18)",63.00,"This bar is dairy-free with a protein base from rice protein concentrate and pea protein isolate and healthy fats from almond butter and coconut oil. ",""
"Paleo Bar - Coconut/Almond (case of 18)",63.00,"This bar is dairy-free with a protein base from rice protein concentrate and pea protein isolate and healthy fats from almond butter and coconut oil. ",""
"CraveArrest 120",46.00,"Promotes healthy stress response and promotes an optimal balance of the major neurotransmitters, including serotonin and dopamine.",""
